"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"9052735","03003339111000151000000000U9","ESTRADA ODONTOTECNIA",,"339111","Fabricación de equipo no electrónico para uso médico, dental y para laboratorio","0 a 5 personas","AVENIDA","REVOLUCION DE 1910","CALLE","MANUEL PINEDA","BOULEVARD","GENERAL MANUEL MARQUEZ DE LEON","CALLE","FRANCISCO I. MADERO","0","SN",,,,,"COLONIA","CENTRO",,,,"23000","03","BAJA CALIFORNIA SUR","003","La Paz","0001","La Paz","2267","029",,,,"Fijo","24.15327449","-110.3203238","2019-11"
"156779","03002621511000031000000000U3","LABORATORIO SAN FRANCISCO",,"621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","CALLE","PROFESORA JOSEFINA FLORES ESTRADA","CALLE","ROSAURA ZAPATA CANO","CALLE","MARCELO RUBIO RUIZ","CALLE","PROFESOR LUIS PELAEZ MANRÍQUEZ",,"SN",,,,,"COLONIA","MARCELO RUBIO",,,,"23940","03","BAJA CALIFORNIA SUR","002","Mulegé","0066","Guerrero Negro","3569","004","615159870","SOSUNA040764@OULOOK.COM",,"Fijo","27.97221306","-114.03353643","2010-07"
"8174389","07101621511002221000000000S4","LABORATORIOS ROVISAN",,"621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","CALZADA","AL SUMIDERO","CALLE","SEGUNDA ORIENTE NORTE","CALLE","TERCERA ORIENTE SUR","AVENIDA","SEGUNDA SUR ORIENTE",,"SN",,,,,"COLONIA","ESTRADA",,,,"29019","07","CHIAPAS","101","Tuxtla Gutiérrez","0001","Tuxtla Gutiérrez","1732","030",,,,"Fijo","16.77750873","-93.10162796","2019-11"
"1355834","11007811499001033000000000U0","LABORATORIO OPTICO ESTRADA",,"339113","Fabricación de artículos oftálmicos","6 a 10 personas","CALLE","PLAN DE IGUALA","CALLE","JOSE MARIA PINO SUAREZ","CALLE","JOSE MARIA LUIS MORA","CALLE","DIVISIÓN DEL NORTE","206",,,,,,"COLONIA","VERGEL",,,,"38078","11","GUANAJUATO","007","Celaya","0001","Celaya","1224","012",,,,"Fijo","20.51575049","-100.8044657","2010-07"
"1618236","13048621211003821001000000U2","LABORATORIO DE ESTUDIOS ODONTOLOGICOS","IMAGEN DENTAL Y DIGITALIZADA SA DE CV","621211","Consultorios dentales del sector privado","6 a 10 personas","CALLE","GENERAL DANIEL CERECEDO ESTRADA","CALLE","GENERAL VICENTE SEGURA","AVENIDA","REVOLUCION","AVENIDA","FRANCISCO I. MADERO","115",,,,,"1","COLONIA","CENTRO",,,,"42060","13","HIDALGO","048","Pachuca de Soto","0001","Pachuca de Soto","0196","011",,"IDDSA@OUTLOOK.COM",,"Fijo","20.12125199","-98.73723566","2010-07"
"3666671","24028315223000412000000000M7","UNIFORMES LUIS ESTRADA",,"435313","Comercio al por mayor de mobiliario, equipo e instrumental médico y de laboratorio","6 a 10 personas","CALLE","GENERAL MARIANO ARISTA","CALLE","EMILIO CARRANZA","CALLE","ALFREDO M. TERRAZAS","AVENIDA","VENUSTIANO CARRANZA","1215",,,,,,"BARRIO","TEQUISQUIAPAN",,,,"78230","24","SAN LUIS POTOSÍ        ","028","San Luis Potosí","0001","San Luis Potosí","1984","029","4441286322",,"WWW.LUISESTRADA.COM.MX","Fijo","22.15087362","-100.99413337","2010-07"
"8768415","24028621511001821000000000U6","GRUPO ALIESTAL","GRUPO ALIESTAL SC","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","CALLE","ROQUE ESTRADA","PRIVADA","DE LOS ANGELES","AVENIDA","UNIVERSIDAD","CALLE","HOGAR DEL NIÑO","135","B",,,,,"COLONIA","EL PASEO",,,,"78320","24","SAN LUIS POTOSÍ        ","028","San Luis Potosí","0001","San Luis Potosí","3124","024",,,,"Fijo","22.15093238","-100.96182938","2019-11"
"3668341","24028621511000531001000000U2","LABORATORIOS DE ANALISIS CLINICOS TANGAMANGA",,"621511","Laboratorios médicos y de diagnóstico del sector privado","6 a 10 personas","CALLE","ROQUE ESTRADA","AVENIDA","REVOLUCION","ANDADOR","NINGUNO","CALLE","RAFAEL CEPEDA","495",,,,,,"COLONIA","EL PASEO",,,,"78320","24","SAN LUIS POTOSÍ        ","028","San Luis Potosí","0001","San Luis Potosí","3124","022",,"LABTANGAMANGASLP@HOTMAIL.COM",,"Fijo","22.14516287","-100.96199674","2010-07"
"3790886","25006621511000641000000000S4","LABORATORIO CLINICO DEL NOROESTE",,"621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","AVENIDA","MANUEL ESTRADA","BOULEVARD","LICENCIADO JOSE VASCONCELOS","CALLE","DOCTOR ENRIQUE GONZALEZ MARTINEZ","AVENIDA","ANTONIO NACAYAMA",,"SN",,,,,"COLONIA","GUADALUPE VICTORIA",,,,"80240","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","3507","031",,,,"Fijo","24.79296979","-107.35834934","2010-07"
"3835586","25017621511000071000000000U1","LABORATORIO DE ANALISIS CLINICOS BURGUENO",,"621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","BOULEVARD","FRANCISCO LABASTIDA","CALLE","VICTOR CRUZ MIRANDA","CALLE","TRINIDAD FUENTES GARCIA","AVENIDA","NÚMERO 2","0","SN",,,"0",,"LOCALIDAD","GENARO ESTRADA",,,,"81960","25","SINALOA","017","Sinaloa","0588","Genaro Estrada","1063","037","6871171426",,,"Fijo","25.93645509","-108.39685376","2010-07"
